Model,URL,Downloads,Downloads_All_Time,Likes,Languages_Supported,Zulu,Luo,Kikuyu,Yoruba,Igbo,Hausa,Amharic,Tigrinya,Sidoma,Oromo,Wolaytta
asr-africa/whisper_NCHLT_speech_corpus_Zulu_50hr_v1,https://huggingface.co/asr-africa/whisper_NCHLT_speech_corpus_Zulu_50hr_v1,0,4,0,1,Yes,No,No,No,No,No,No,No,No,No,No
mabrouk/whisper-small-yo,https://huggingface.co/mabrouk/whisper-small-yo,7,123,0,1,No,No,No,Yes,No,No,No,No,No,No,No
okezieowen/whisper-small-multilingual-naija-10-20-2024,https://huggingface.co/okezieowen/whisper-small-multilingual-naija-10-20-2024,15,128,0,1,No,No,No,No,Yes,No,No,No,No,No,No
jonahdvt/whisper-large-ig-5h,https://huggingface.co/jonahdvt/whisper-large-ig-5h,7,15,0,1,No,No,No,No,Yes,No,No,No,No,No,No
jonahdvt/whisper-large-ig-1h,https://huggingface.co/jonahdvt/whisper-large-ig-1h,7,14,0,1,No,No,No,No,Yes,No,No,No,No,No,No
jonahdvt/whisper-large-ig-20h,https://huggingface.co/jonahdvt/whisper-large-ig-20h,8,15,0,1,No,No,No,No,Yes,No,No,No,No,No,No
jonahdvt/whisper-fleurs-large-ig_ng,https://huggingface.co/jonahdvt/whisper-fleurs-large-ig_ng,21,28,0,1,No,No,No,No,Yes,No,No,No,No,No,No
jonahdvt/whisper-fleurs-large-plus-ig_ng,https://huggingface.co/jonahdvt/whisper-fleurs-large-plus-ig_ng,15,18,0,1,No,No,No,No,Yes,No,No,No,No,No,No
benjaminogbonna/whisper-tiny-igbo,https://huggingface.co/benjaminogbonna/whisper-tiny-igbo,18,60,0,1,No,No,No,No,Yes,No,No,No,No,No,No
jamese360/whisper-small-ig,https://huggingface.co/jamese360/whisper-small-ig,20,143,0,1,No,No,No,No,Yes,No,No,No,No,No,No
jonahdvt/whisper-large-ig-2.5h,https://huggingface.co/jonahdvt/whisper-large-ig-2.5h,8,15,0,1,No,No,No,No,Yes,No,No,No,No,No,No
okezieowen/whisper-small-multilingual-naija-10-25-2024,https://huggingface.co/okezieowen/whisper-small-multilingual-naija-10-25-2024,10,107,0,1,No,No,No,No,Yes,No,No,No,No,No,No
okezieowen/hypaai-whisper-small-v1-05312025,https://huggingface.co/okezieowen/hypaai-whisper-small-v1-05312025,32,32,0,1,No,No,No,No,Yes,No,No,No,No,No,No
hypaai/hypaai-whisper-small-v1-04272025,https://huggingface.co/hypaai/hypaai-whisper-small-v1-04272025,26,106,0,1,No,No,No,No,Yes,No,No,No,No,No,No
hypaai/hypaai-whisper-base-v1-04292025,https://huggingface.co/hypaai/hypaai-whisper-base-v1-04292025,1595,1738,0,1,No,No,No,No,Yes,No,No,No,No,No,No
jonahdvt/whisper-fleurs-medium-ig_ng,https://huggingface.co/jonahdvt/whisper-fleurs-medium-ig_ng,8,16,0,1,No,No,No,No,Yes,No,No,No,No,No,No
jonahdvt/whisper-large-ig-10h,https://huggingface.co/jonahdvt/whisper-large-ig-10h,7,14,0,1,No,No,No,No,Yes,No,No,No,No,No,No
hypaai/hypaai-whisper-small-v2-04282025,https://huggingface.co/hypaai/hypaai-whisper-small-v2-04282025,1501,1626,0,1,No,No,No,No,Yes,No,No,No,No,No,No
jonahdvt/whisper-fleurs-medium-plus-ig_ng,https://huggingface.co/jonahdvt/whisper-fleurs-medium-plus-ig_ng,6,10,0,1,No,No,No,No,Yes,No,No,No,No,No,No
hypaai/hypaai-whisper-small-v1-05032025,https://huggingface.co/hypaai/hypaai-whisper-small-v1-05032025,22,71,0,1,No,No,No,No,Yes,No,No,No,No,No,No
jboat/whisper-small-ig,https://huggingface.co/jboat/whisper-small-ig,6,161,0,1,No,No,No,No,Yes,No,No,No,No,No,No
jlonsako/mms-1b-all-AmhLM,https://huggingface.co/jlonsako/mms-1b-all-AmhLM,0,0,0,1,No,No,No,No,No,No,Yes,No,No,No,No
anniev18/whisper-small-amh,https://huggingface.co/anniev18/whisper-small-amh,21,206,0,1,No,No,No,No,No,No,Yes,No,No,No,No
